Listing_ID,Type,Address,Price,Price_Per_M2,Area,Rooms,Bathrooms,Floor,Year_Built,Finish,View,Payment_Method,Seller_Type,Amenities,Description,Link
EG-6896138,Duplex,cairo new cairo compounds swan lake iris swan lake residence,"45,700,000 EGP","108,038 EGP/M²",423 m²,5 rooms,5 bathroom,2,2026,N/A,Other,Cash,Developer,N/A,N/A,https://aqarmap.com.eg/en/listing/6896138-for-sale-cairo-new-cairo-compounds-swan-lake-iris-swan-lake-residence/
EG-6889174,Unknown,cairo el sheikh zayed city lhy lsb shr,"6,080,000 EGP","80,000 EGP/M²",76 m²,1 rooms,1 bathroom,Ground,2030,N/A,Main Street,Installments,Broker,N/A,N/A,https://aqarmap.com.eg/en/listing/6889174-for-sale-cairo-el-sheikh-zayed-city-lhy-lsb-shr/
EG-6632993,Villa,cairo new cairo el ahyaa second neighborhood,"42,000,000 EGP","24,706 EGP/M²",1700 m²,20 rooms,15 bathroom,N/A,2021,N/A,Corner,Cash,Broker,N/A,N/A,https://aqarmap.com.eg/en/listing/6632993-for-sale-cairo-new-cairo-el-ahyaa-second-neighborhood/
EG-6889691,Duplex,https://aqarmap.com.eg/en/listing/6889691 projects annex26,"8,635,770 EGP","128,892 EGP/M²",N/A,N/A,N/A,2,N/A,N/A,Main Street,Cash or Installments,N/A,"Elevator, Security, Parking",N/A,https://aqarmap.com.eg/en/listing/6889691-projects-annex26/
EG-6889669,Penthouse,https://aqarmap.com.eg/en/listing/6889669 projects zizinia mostakbal,"6,200,000 EGP","39,490 EGP/M²",N/A,N/A,N/A,N/A,N/A,N/A,Main Street,Cash or Installments,N/A,"Elevator, Garden",N/A,https://aqarmap.com.eg/en/listing/6889669-projects-zizinia-mostakbal/
EG-6889169,Unknown,cairo el sheikh zayed city lhy lsb shr,"7,920,000 EGP","88,000 EGP/M²",90 m²,1 rooms,1 bathroom,Ground,2030,N/A,Main Street,Installments,Broker,N/A,N/A,https://aqarmap.com.eg/en/listing/6889169-for-sale-cairo-el-sheikh-zayed-city-lhy-lsb-shr/
EG-6889693,Duplex,https://aqarmap.com.eg/en/listing/6889693 projects annex26,"4,732,796 EGP","143,418 EGP/M²",N/A,N/A,N/A,3,N/A,N/A,Main Street,Cash or Installments,N/A,"Elevator, Security, Parking",N/A,https://aqarmap.com.eg/en/listing/6889693-projects-annex26/
EG-6889671,Penthouse,https://aqarmap.com.eg/en/listing/6889671 projects zizinia mostakbal,"12,800,000 EGP","51,200 EGP/M²",N/A,N/A,N/A,N/A,N/A,N/A,Main Street,Cash or Installments,N/A,"Elevator, Garden",N/A,https://aqarmap.com.eg/en/listing/6889671-projects-zizinia-mostakbal/
EG-6889666,Penthouse,https://aqarmap.com.eg/en/listing/6889666 projects zizinia mostakbal,"7,300,000 EGP","53,285 EGP/M²",N/A,N/A,N/A,N/A,N/A,N/A,Main Street,Cash or Installments,N/A,"Elevator, Garden",N/A,https://aqarmap.com.eg/en/listing/6889666-projects-zizinia-mostakbal/
EG-6889681,Duplex,https://aqarmap.com.eg/en/listing/6889681 projects annex26,"9,945,000 EGP","301,364 EGP/M²",N/A,N/A,N/A,Ground,N/A,N/A,Main Street,Cash or Installments,N/A,"Elevator, Security, Parking",N/A,https://aqarmap.com.eg/en/listing/6889681-projects-annex26/
EG-6889672,Penthouse,https://aqarmap.com.eg/en/listing/6889672 projects zizinia mostakbal,"10,200,000 EGP","29,825 EGP/M²",N/A,N/A,N/A,Ground,N/A,N/A,Garden,Cash or Installments,N/A,"Elevator, Garden",N/A,https://aqarmap.com.eg/en/listing/6889672-projects-zizinia-mostakbal/
